m/z,intensity
15.0,1.00
16.0,0.40
26.0,1.80
27.0,4.00
28.0,0.20
29.0,0.20
37.0,0.70
38.0,2.60
39.0,8.10
40.0,3.80
41.0,3.20
42.0,5.20
43.0,0.20
49.0,1.40
50.0,9.80
51.0,23.12
52.0,3.70
53.0,1.60
54.0,1.10
55.0,0.10
56.0,0.50
57.0,0.30
60.0,0.50
61.0,2.40
62.0,6.00
63.0,12.71
64.0,4.20
65.0,5.10
66.0,2.70
67.0,1.70
68.0,0.60
69.0,1.30
71.0,0.20
73.0,3.60
74.0,10.80
75.0,31.02
76.0,17.31
77.0,48.64
78.0,5.60
79.0,0.60
80.0,0.90
81.0,4.50
84.0,1.70
85.0,2.20
86.0,4.50
87.0,7.30
89.0,20.61
90.0,4.20
91.0,5.90
92.0,0.70
93.0,3.20
94.0,1.90
96.0,1.80
97.0,1.90
98.0,4.30
99.0,7.70
100.0,15.01
101.0,11.11
102.0,35.63
104.0,6.60
105.0,1.10
106.0,2.10
107.0,2.40
108.0,0.80
109.0,1.80
110.0,7.70
111.0,12.11
112.0,5.50
113.0,7.70
114.0,4.60
116.0,13.21
117.0,1.30
118.0,0.50
120.0,9.60
121.0,4.40
122.0,1.70
123.0,3.90
124.0,8.80
125.0,3.90
126.0,7.60
127.0,6.10
128.0,3.00
129.0,8.10
130.0,0.90
132.0,1.50
134.0,4.50
135.0,2.10
136.0,13.21
137.0,32.22
138.0,14.71
139.0,12.61
140.0,5.80
141.0,2.70
142.0,4.90
143.0,0.80
147.0,0.40
148.0,0.60
149.0,4.50
150.0,11.11
151.0,16.51
152.0,8.40
153.0,2.60
154.0,1.40
155.0,0.30
160.0,0.30
161.0,2.00
162.0,5.00
163.0,18.91
164.0,10.80
165.0,7.20
166.0,2.60
167.0,0.40
170.0,1.40
171.0,0.40
173.0,0.80
174.0,1.90
175.0,4.40
176.0,16.81
177.0,29.92
178.0,10.00
179.0,5.20
180.0,0.70
185.0,0.60
186.0,1.50
187.0,1.00
188.0,3.10
189.0,2.60
190.0,6.80
191.0,2.40
192.0,2.10
193.0,0.40
197.0,0.40
198.0,1.00
199.0,3.60
200.0,1.40
201.0,3.90
202.0,8.20
203.0,29.02
204.0,100.00
205.0,32.82
206.0,4.20
207.0,0.90
210.0,0.20
211.0,1.40
212.0,3.00
213.0,3.00
214.0,2.30
215.0,1.50
216.0,1.50
217.0,2.80
218.0,2.80
219.0,11.21
220.0,1.90
223.0,0.20
224.0,1.10
225.0,0.50
226.0,0.70
227.0,0.60
228.0,0.70
229.0,0.90
230.0,2.50
231.0,4.40
232.0,10.20
233.0,2.20
237.0,2.20
238.0,17.11
239.0,22.32
240.0,11.51
241.0,8.40
242.0,2.80
243.0,2.80
244.0,2.50
245.0,26.52
246.0,5.20
247.0,0.40
251.0,0.60
252.0,1.40
253.0,9.20
254.0,6.00
255.0,3.80
256.0,1.50
257.0,0.20
264.0,0.30
265.0,3.30
266.0,8.20
267.0,3.20
268.0,3.70
269.0,0.50
270.0,0.40
273.0,57.95
274.0,11.51
275.0,1.00
277.0,0.70
279.0,92.08
280.0,21.21
281.0,32.92
282.0,7.20
283.0,0.80
293.0,0.80
294.0,0.30
295.0,0.30
307.0,30.72
308.0,73.26
309.0,23.12
310.0,24.42
311.0,4.40
312.0,0.40
