m/z,intensity
36.0,4.9
37.0,0.9
38.0,2.9
39.0,0.89
40.0,8.9
41.0,18.9
42.0,10.9
43.0,0.79
44.0,14.9
45.0,1.9
49.0,0.9
50.0,0.39
51.0,10.9
52.0,2.9
53.0,1.9
54.0,0.59
55.0,12.4
56.0,19.9
57.0,7.9
58.0,0.54
59.0,1.9
60.0,2.9
61.0,0.9
62.0,0.29
63.0,6.9
64.0,2.9
65.0,5.9
66.0,0.19
67.0,2.9
68.0,2.9
69.0,4.9
70.0,0.29
71.0,2.9
72.0,0.9
73.0,2.9
74.0,0.29
75.0,9.9
76.0,7.9
77.0,22.9
78.0,0.39
79.0,2.9
80.0,1.9
81.0,3.9
82.0,0.49
83.0,3.9
84.0,1.9
85.0,1.9
86.0,0.19
87.0,2.9
88.0,4.9
89.0,10.9
90.0,0.49
91.0,18.9
92.0,2.9
93.0,2.9
94.0,0.19
95.0,2.9
96.0,3.9
97.0,3.9
98.0,0.29
99.0,2.9
100.0,3.9
101.0,3.4
102.0,0.69
103.0,6.9
104.0,4.9
105.0,6.9
106.0,0.29
107.0,1.9
108.0,1.9
109.0,4.9
110.0,0.49
111.0,4.9
112.0,2.9
113.0,2.9
114.0,0.39
115.0,3.9
116.0,4.9
117.0,4.9
118.0,0.59
119.0,1.9
120.0,3.9
121.0,2.9
122.0,0.19
123.0,3.9
124.0,10.9
125.0,3.9
126.0,0.49
127.0,3.9
128.0,2.9
129.0,2.9
130.0,0.19
131.0,1.9
132.0,2.9
133.0,0.9
134.0,0.19
135.0,1.9
136.0,2.9
137.0,2.9
138.0,0.49
139.0,3.9
140.0,2.9
141.0,2.9
142.0,0.29
143.0,2.9
144.0,1.9
145.0,1.9
146.0,0.09
147.0,1.9
148.0,0.9
149.0,10.9
150.0,0.59
151.0,9.9
152.0,6.9
153.0,3.9
154.0,0.19
155.0,0.9
156.0,0.9
157.0,0.9
158.0,0.09
159.0,0.9
160.0,0.9
161.0,0.9
162.0,0.29
163.0,9.9
164.0,7.9
165.0,10.9
166.0,0.39
167.0,2.9
168.0,1.9
169.0,1.4
170.0,0.09
171.0,1.9
172.0,0.9
173.0,0.9
174.0,0.09
175.0,1.9
176.0,3.9
177.0,7.9
178.0,0.59
179.0,7.9
180.0,4.9
181.0,2.9
182.0,0.09
186.0,1.9
187.0,1.9
188.0,2.9
189.0,0.29
190.0,6.9
191.0,4.9
192.0,3.9
193.0,0.49
194.0,2.9
195.0,1.9
196.0,0.9
197.0,0.09
198.0,0.9
199.0,3.9
200.0,1.9
201.0,0.29
202.0,1.9
203.0,3.9
204.0,3.9
205.0,0.99
206.0,4.9
207.0,2.9
208.0,1.9
209.0,0.09
210.0,0.9
211.0,0.9
212.0,0.9
213.0,0.29
214.0,5.9
215.0,3.9
216.0,4.9
217.0,0.39
218.0,9.9
219.0,10.9
220.0,11.9
221.0,0.39
222.0,1.9
223.0,1.9
224.0,1.9
226.0,0.29
227.0,6.9
228.0,2.9
229.0,4.9
230.0,0.29
231.0,1.9
232.0,2.9
233.0,2.9
234.0,0.19
235.0,1.4
236.0,0.9
237.0,0.9
238.0,0.19
239.0,6.9
240.0,4.9
241.0,16.9
242.0,0.69
243.0,6.9
244.0,3.9
245.0,1.9
246.0,0.49
247.0,11.9
248.0,4.9
249.0,0.9
251.0,0.19
252.0,5.9
253.0,12.9
254.0,7.4
255.0,0.89
256.0,3.9
257.0,3.9
258.0,1.9
259.0,0.19
264.0,1.9
265.0,1.9
266.0,3.9
267.0,0.49
268.0,5.9
269.0,4.9
270.0,3.9
271.0,0.19
272.0,0.9
273.0,0.9
279.0,0.9
280.0,0.49
281.0,3.9
282.0,99.99
283.0,71.9
284.0,4.39
285.0,23.9
286.0,4.9
287.0,0.9
298.0,0.89
299.0,34.9
300.0,9.9
301.0,12.9
302.0,0.29
303.0,0.9
