m/z,intensity
25.00727602,69.41
27.02292522,36.86
56.01308792,76.86
68.99466102,46.76
117.0572968,52.66
144.0443863,56.72
145.0522109,31.79
207.0057103,67.11
227.0496237,100.00
229.0470163,33.63
235.0006244,64.32
240.0504937,28.48
255.0445378,43.71
269.047611,40.45
274.0115222,26.72
275.0193468,42.50
282.0554356,25.78
283.0632602,93.21
285.0608041,31.96
290.0661429,29.57
296.0448333,43.07
316.0817921,35.81
317.0896167,83.47
324.0271714,61.29
324.0635557,41.44
326.0428206,28.20
332.052242,30.95
333.0600666,43.60
336.0271714,26.76
337.034996,34.97
352.0584698,41.18
