m/z,intensity
17.0,10.4
18.0,43.4
27.0,3.5
28.0,4.9
29.0,5.2
36.0,4.0
38.0,1.6
39.0,0.47
41.0,4.9
43.0,6.9
45.0,2.4
50.0,1.45
51.0,14.7
52.0,3.0
55.0,4.5
56.0,0.16
57.0,4.7
58.0,1.7
59.0,3.6
60.0,0.19
61.0,2.5
62.0,5.9
63.0,5.8
64.0,0.15
65.0,1.4
67.0,1.5
69.0,3.0
70.0,0.23
71.0,2.6
73.0,3.8
74.0,13.9
74.5,0.26
75.0,69.3
75.5,2.8
76.0,12.9
77.0,0.9
81.0,1.8
83.0,1.7
84.0,2.8
85.0,0.52
86.0,3.4
87.0,4.3
87.5,2.6
88.0,0.68
88.5,4.6
89.0,2.4
92.0,2.7
92.5,0.19
93.0,3.7
95.0,1.4
96.0,1.8
97.0,0.15
98.0,3.3
99.0,7.7
100.0,15.4
101.0,0.82
101.5,5.8
102.0,24.4
103.0,2.3
105.5,0.36
106.0,3.5
106.5,2.2
107.0,1.6
109.0,0.23
110.0,16.1
110.5,1.6
111.0,37.8
112.0,1.32
113.0,13.2
114.0,3.4
115.0,1.4
118.5,0.14
119.0,8.2
119.5,11.6
120.0,4.6
120.5,0.39
121.0,1.4
122.0,1.3
123.0,3.3
124.0,0.3
125.0,3.9
126.0,3.2
127.0,2.5
133.0,0.16
136.0,9.4
137.0,16.0
138.0,37.0
139.0,0.77
140.0,11.1
141.0,1.7
148.0,1.0
149.0,1.02
150.0,9.5
151.0,6.9
152.0,2.9
153.0,0.16
154.0,1.3
160.0,1.5
161.0,1.5
162.0,0.16
163.0,9.6
164.0,1.9
165.0,3.8
174.0,0.22
175.0,8.1
176.0,17.3
177.0,23.4
178.0,0.45
179.0,1.7
185.0,1.7
186.0,2.3
202.0,0.93
203.0,12.0
204.0,10.7
205.0,2.5
210.0,0.25
211.0,6.1
212.0,4.1
213.0,3.3
214.0,0.17
237.0,2.9
238.0,5.0
239.0,99.99
240.0,18.1
241.0,33.2
242.0,5.7
248.0,2.3
250.0,0.15
257.0,1.4
267.0,17.9
268.0,3.4
269.0,0.61
270.0,1.3
273.0,22.2
274.0,75.4
275.0,2.74
276.0,50.8
277.0,11.1
278.0,8.7
279.0,0.21
285.0,1.3
291.0,12.5
292.0,2.2
293.0,0.8
294.0,1.8
295.0,1.5
301.0,5.2
302.0,6.23
303.0,15.9
304.0,41.9
305.0,8.2
306.0,0.73
307.0,1.4
320.0,2.0
322.0,1.4
